FID,FID_Projec,Zone,FID_CA_Pla,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area
0,0,1,63,06,57876,02411449,0657876,Point Arena,Point Arena city,25,C1,N,N,G4110,A,3496030,0,+38.9123087,-123.6957623,5567222.59
1,0,1,158,06,17022,02410262,0617022,Crescent City,Crescent City city,25,C1,Y,N,G4110,A,5085115,1169623,+41.7645143,-124.2007785,9130277.76
2,0,1,168,06,07162,02409868,0607162,Blue Lake,Blue Lake city,25,C1,N,N,G4110,A,1535453,75885,+40.8832036,-123.9947220,2821557.53
3,0,1,169,06,25296,02410532,0625296,Fortuna,Fortuna city,25,C1,Y,N,G4110,A,12549005,123,+40.5854108,-124.1426079,21781328.01
4,0,1,170,06,60900,02410951,0660900,Rio Dell,Rio Dell city,25,C1,N,N,G4110,A,5907975,350980,+40.4955909,-124.1149295,10836806.03
5,0,1,171,06,80448,02412093,0680448,Trinidad,Trinidad city,25,C1,N,N,G4110,A,1255841,482188,+41.0577077,-124.1432550,2011183.3
6,0,1,172,06,23910,02410497,0623910,Ferndale,Ferndale city,25,C1,N,N,G4110,A,2658923,0,+40.5798914,-124.2619086,4614286.3
7,0,1,173,06,02476,02409723,0602476,Arcata,Arcata city,25,C1,Y,N,G4110,A,23548909,4911894,+40.8622906,-124.0749668,42044478.43
8,0,1,174,06,23042,02410463,0623042,Eureka,Eureka city,25,C1,Y,N,G4110,A,24304870,13129946,+40.7934759,-124.1552744,43447231.04
9,0,1,455,06,25058,02410525,0625058,Fort Bragg,Fort Bragg city,25,C1,N,N,G4110,A,7120035,86606,+39.4410694,-123.8036201,11884193.42
10,0,1,491,06,00716,02628703,0600716,Albion,Albion CDP,57,U1,N,N,G4210,S,4701873,96898,+39.2253257,-123.7575844,7943814.92
11,0,1,508,06,02028,02628706,0602028,Anchor Bay,Anchor Bay CDP,57,U1,N,N,G4210,S,9097804,0,+38.8126532,-123.5702668,14871422.69
12,0,1,535,06,04478,02407810,0604478,Bayview,Bayview CDP,57,U1,N,N,G4210,S,1895432,0,+40.7653347,-124.1786052,3307524.28
13,0,1,551,06,06150,02407832,0606150,Bertsch-Oceanview,Bertsch-Oceanview CDP,57,U2,N,N,G4210,S,13727496,708911,+41.7516381,-124.1704977,24560442.59
14,0,1,557,06,06567,02611424,0606567,Big Lagoon,Big Lagoon CDP,57,U1,N,N,G4210,S,1552063,0,+41.1593611,-124.1298681,2709031.77
15,0,1,568,06,07246,02582947,0607246,Bodega,Bodega CDP,57,U1,N,N,G4210,S,7515783,0,+38.3488408,-122.9711641,12238935.8
16,0,1,569,06,07260,02407872,0607260,Bodega Bay,Bodega Bay CDP,57,U1,N,N,G4210,S,21612543,10823438,+38.3275057,-123.0300219,35258497.9
17,0,1,630,06,11376,02582964,0611376,Carmet,Carmet CDP,57,U1,N,N,G4210,S,742472,0,+38.3744519,-123.0718595,1209364.42
18,0,1,639,06,11768,02628717,0611768,Caspar,Caspar CDP,57,U1,N,N,G4210,S,7748989,0,+39.3630629,-123.8041936,12887228.27
19,0,1,647,06,12146,02582969,0612146,Cazadero,Cazadero CDP,57,U1,N,N,G4210,S,18431244,3546,+38.5278309,-123.1097995,30166678.89
20,0,1,671,06,14008,02628718,0614008,Cleone,Cleone CDP,57,U1,N,N,G4210,S,4126679,62762,+39.4878572,-123.7760686,6890368.21
21,0,1,686,06,15030,02628722,0615030,Comptche,Comptche CDP,57,U1,N,N,G4210,S,2987584,0,+39.2651343,-123.5897145,4990799.59
22,0,1,710,06,17722,02408637,0617722,Cutten,Cutten CDP,57,U1,N,N,G4210,S,3351483,0,+40.7656751,-124.1445655,5848409.02
23,0,1,796,06,23196,02628729,0623196,Fairhaven,Fairhaven CDP,57,U1,N,N,G4210,S,1678794,3918,+40.7908802,-124.2047484,2818773.66
24,0,1,807,06,24008,02611430,0624008,Fieldbrook,Fieldbrook CDP,57,U1,N,N,G4210,S,27111447,9982,+40.9729581,-124.0285865,47620920.82
25,0,1,808,06,24022,02628730,0624022,Fields Landing,Fields Landing CDP,57,U1,N,N,G4210,S,716667,7676,+40.7242363,-124.2186025,1249064.75
26,0,1,822,06,25086,02611432,0625086,Fort Dick,Fort Dick CDP,57,U1,N,N,G4210,S,8331462,662,+41.8695255,-124.1671978,15034771.02
27,0,1,876,06,31470,02408341,0631470,Guerneville,Guerneville CDP,57,U1,N,N,G4210,S,25147191,440242,+38.5171652,-122.9898970,7116028.9
28,0,1,898,06,33935,02611435,0633935,Hiouchi,Hiouchi CDP,57,U1,N,N,G4210,S,1501782,0,+41.7936643,-124.0661134,1751272.69
29,0,1,910,06,34928,02408406,0634928,Humboldt Hill,Humboldt Hill CDP,57,U1,N,N,G4210,S,10761593,38545,+40.7223160,-124.1973808,18821814.78
30,0,1,912,06,36126,02408413,0636126,Hydesville,Hydesville CDP,57,U1,N,N,G4210,S,19424190,0,+40.5578746,-124.0822500,33686619.64
31,0,1,917,06,36420,02628741,0636420,Indianola,Indianola CDP,57,U1,N,N,G4210,S,3656941,483,+40.8099643,-124.0784473,6391349.14
32,0,1,929,06,37274,02583041,0637274,Jenner,Jenner CDP,57,U1,N,N,G4210,S,5463963,745264,+38.4590340,-123.1274672,10125726.98
33,0,1,954,06,38702,02408492,0638702,Klamath,Klamath CDP,57,U1,N,N,G4210,S,32116206,0,+41.5322042,-124.0064129,57358954.42
34,0,1,1001,06,41026,02628750,0641026,Leggett,Leggett CDP,57,U1,N,N,G4210,S,7003204,0,+39.8635391,-123.7251757,11502821.81
35,0,1,1019,06,41866,02628752,0641866,Little River,Little River CDP,57,U1,N,N,G4210,S,4331554,0,+39.2702854,-123.7817494,7103904.85
36,0,1,1026,06,42328,02611440,0642328,Loleta,Loleta CDP,57,U1,N,N,G4210,S,5500845,0,+40.6408852,-124.2225561,9563431.64
37,0,1,1054,06,44910,02408201,0644910,McKinleyville,McKinleyville CDP,57,U1,N,N,G4210,S,53938811,601824,+40.9522654,-124.0748997,93552402.84
38,0,1,1062,06,45386,02628754,0645386,Manchester,Manchester CDP,57,U1,N,N,G4210,S,6780881,0,+38.9743844,-123.6909611,11235194.98
39,0,1,1063,06,45414,02628755,0645414,Manila,Manila CDP,57,U1,N,N,G4210,S,1694566,128417,+40.8508972,-124.1631934,3097991.47
40,0,1,1082,06,46814,02408815,0646814,Mendocino,Mendocino CDP,57,U1,N,N,G4210,S,5846595,13373350,+39.3114038,-123.8125523,9768928.79
41,0,1,1113,06,48928,02408860,0648928,Monte Rio,Monte Rio CDP,57,U1,N,N,G4210,S,4930356,188598,+38.4736108,-123.0261783,5805318.92
42,0,1,1135,06,50188,02408896,0650188,Myrtletown,Myrtletown CDP,57,U1,N,N,G4210,S,5436586,212720,+40.7887307,-124.1306576,9864942.65
43,0,1,1169,06,53266,02408971,0653266,Occidental,Occidental CDP,57,U1,N,N,G4210,S,12862113,0,+38.4003784,-122.9349498,2144319.49
44,0,1,1180,06,54218,02611444,0654218,Orick,Orick CDP,57,U1,N,N,G4210,S,12290849,270113,+41.2911196,-124.0741732,22268869.85
45,0,1,1218,06,57204,02409067,0657204,Pine Hills,Pine Hills CDP,57,U1,N,N,G4210,S,26200981,107372,+40.7329502,-124.1613260,45861415.66
46,0,1,1258,06,59906,02628781,0659906,Redcrest,Redcrest CDP,57,U1,N,N,G4210,S,1549190,0,+40.3987748,-123.9474151,2674086.19
47,0,1,1295,06,64252,02583125,0664252,Salmon Creek,Salmon Creek CDP,57,U1,N,N,G4210,S,2885757,0,+38.3462121,-123.0593290,4690980.16
48,0,1,1298,06,64392,02628788,0664392,Samoa,Samoa CDP,57,U1,N,N,G4210,S,2166607,0,+40.8146090,-124.1892153,3639444.54
49,0,1,1320,06,70518,02611446,0670518,Scotia,Scotia CDP,57,U1,N,N,G4210,S,1932250,247386,+40.4788133,-124.1046506,3771077.29
50,0,1,1322,06,70712,02583133,0670712,Sea Ranch,Sea Ranch CDP,57,U1,N,N,G4210,S,41797517,222130,+38.7430394,-123.4764179,68955911.72
51,0,1,1326,06,71000,02583134,0671000,Sereno del Mar,Sereno del Mar CDP,57,U1,N,N,G4210,S,1909750,0,+38.3836712,-123.0731482,3111068.44
52,0,1,1332,06,71372,02611448,0671372,Shelter Cove,Shelter Cove CDP,57,U1,N,N,G4210,S,15098012,0,+40.0389543,-124.0558247,25209209.51
53,0,1,1349,06,72380,02611450,0672380,Smith River,Smith River CDP,57,U1,N,N,G4210,S,10283117,38079,+41.9238020,-124.1478252,18658543.27
54,0,1,1418,06,78715,02583163,0678715,Timber Cove,Timber Cove CDP,57,U1,N,N,G4210,S,14637533,0,+38.5410889,-123.2587860,23925788.52
55,0,1,1449,06,81778,02583173,0681778,Valley Ford,Valley Ford CDP,57,U1,N,N,G4210,S,6842484,0,+38.3245599,-122.9147330,561940.8
56,0,1,1480,06,84004,02611454,0684004,Weott,Weott CDP,57,U1,N,N,G4210,S,1946268,48591,+40.3227715,-123.9206222,3435661.47
57,0,1,1485,06,84385,02409573,0684385,Westhaven-Moonstone,Westhaven-Moonstone CDP,57,U2,N,N,G4210,S,20963592,70662,+41.0361699,-124.0914538,36726510.59
58,1,10,47,06,59451,02411514,0659451,Rancho Cucamonga,Rancho Cucamonga city,25,C1,N,N,G4110,A,103562370,24723,+34.1233151,-117.5642070,150995349.9
59,1,10,57,06,14890,02410200,0614890,Colton,Colton city,25,C1,N,N,G4110,A,39689349,1852708,+34.0545252,-117.3250286,60671088.61
60,1,10,58,06,30658,02410634,0630658,Grand Terrace,Grand Terrace city,25,C1,N,N,G4110,A,9070907,0,+34.0311716,-117.3132429,13240842.62
61,1,10,99,06,62000,02410965,0662000,Riverside,Riverside city,25,C1,Y,N,G4110,A,210379895,801713,+33.9381433,-117.3931675,307594656.9
62,1,10,100,06,49270,02411159,0649270,Moreno Valley,Moreno Valley city,25,C1,N,N,G4110,A,132800801,504194,+33.9232527,-117.2056845,194102272.3
63,1,10,101,06,16350,02410232,0616350,Corona,Corona city,25,C1,Y,N,G4110,A,102233537,211897,+33.8619689,-117.5654945,148942758.8
64,1,10,102,06,39486,02411601,0639486,Lake Elsinore,Lake Elsinore city,25,C1,N,N,G4110,A,98470406,14031927,+33.6885202,-117.3428734,162903994.1
65,1,10,103,06,04758,02409805,0604758,Beaumont,Beaumont city,25,C1,N,N,G4110,A,79483493,35531,+33.8767216,-116.9530089,111804430
66,1,10,104,06,33182,02410738,0633182,Hemet,Hemet city,25,C1,N,N,G4110,A,71851072,0,+33.7353163,-116.9944744,104163118
67,1,10,105,06,51560,02411265,0651560,Norco,Norco city,25,C1,N,N,G4110,A,35673942,573824,+33.9255186,-117.5519578,52780669.6
68,1,10,107,06,67112,02411788,0667112,San Jacinto,San Jacinto city,25,C1,N,N,G4110,A,66579313,1068083,+33.7951219,-116.9919568,98208906.17
69,1,10,115,06,58072,02411454,0658072,Pomona,Pomona city,25,C1,N,N,G4110,A,59446734,26188,+34.0584937,-117.7610909,68706.88
70,1,10,117,06,19192,02410334,0619192,Diamond Bar,Diamond Bar city,25,C1,N,N,G4110,A,38539601,13084,+34.0015725,-117.8176013,73842.58
71,1,10,178,06,46842,02497157,0646842,Menifee,Menifee city,25,C1,N,N,G4110,A,120362837,388769,+33.6898575,-117.1843827,174875571.6
72,1,10,185,06,85446,02497148,0685446,Wildomar,Wildomar city,25,C1,N,N,G4110,A,61350821,0,+33.6172779,-117.2582476,88699229.71
73,1,10,186,06,03820,02409785,0603820,Banning,Banning city,25,C1,N,N,G4110,A,60265813,0,+33.9460305,-116.8991871,12135516.92
74,1,10,187,06,08100,02409897,0608100,Brea,Brea city,25,C1,N,N,G4110,A,31579486,78564,+33.9317280,-117.8549423,16876.04
75,1,10,201,06,09864,02409961,0609864,Calimesa,Calimesa city,25,C1,N,N,G4110,A,38481117,0,+33.9873437,-117.0542110,56113602.66
76,1,10,202,06,10928,02409979,0610928,Canyon Lake,Canyon Lake city,25,C1,N,N,G4110,A,10155027,1925635,+33.6883023,-117.2635469,17494493.82
77,1,10,213,06,78120,02412044,0678120,Temecula,Temecula city,25,C1,Y,N,G4110,A,96518165,30591,+33.4930818,-117.1317297,139189347.9
78,1,10,250,06,37692,02702867,0637692,Jurupa Valley,Jurupa Valley city,25,C1,N,N,G4110,A,111216400,1914744,+34.0025907,-117.4676122,165021798.1
79,1,10,255,06,59962,02411532,0659962,Redlands,Redlands city,25,C1,Y,N,G4110,A,93321052,779122,+34.0516420,-117.1708618,137422619.1
80,1,10,258,06,70224,02411830,0670224,Santee,Santee city,25,C1,N,N,G4110,A,42058355,758838,+32.8549903,-116.9860556,59641172.3
81,1,10,261,06,21230,02650584,0621230,Eastvale,Eastvale city,25,C1,N,N,G4110,A,32797626,1164576,+33.9632615,-117.5805473,49494456.29
82,1,10,263,06,24680,02410517,0624680,Fontana,Fontana city,25,C1,N,N,G4110,A,111418803,0,+34.1089560,-117.4628880,162011222.2
83,1,10,264,06,60466,02410931,0660466,Rialto,Rialto city,25,C1,N,N,G4110,A,57824783,36883,+34.1117839,-117.3882874,84622256.23
84,1,10,266,06,50076,02411199,0650076,Murrieta,Murrieta city,25,C1,N,N,G4110,A,87023902,93770,+33.5721337,-117.1904442,125821113.1
85,1,10,311,06,13756,02409465,0613756,Claremont,Claremont city,25,C1,N,N,G4110,A,34579598,353973,+34.1249246,-117.7139226,146379.64
86,1,10,379,06,86832,02412321,0686832,Yorba Linda,Yorba Linda city,25,C1,N,N,G4110,A,50008147,1435912,+33.8869705,-117.7725900,70966.5
87,1,10,386,06,65000,02411777,0665000,San Bernardino,San Bernardino city,25,C1,Y,N,G4110,A,159326695,1126214,+34.1415530,-117.2935572,191862784.3
88,1,10,392,06,13214,02409454,0613214,Chino Hills,Chino Hills city,25,C1,N,N,G4110,A,115720105,123913,+33.9429693,-117.7256483,168465643.1
89,1,10,393,06,33588,02410759,0633588,Highland,Highland city,25,C1,N,N,G4110,A,48574930,348871,+34.1134731,-117.1657294,55472846.31
90,1,10,394,06,13210,02409453,0613210,Chino,Chino city,25,C1,Y,N,G4110,A,76829663,33348,+33.9780368,-117.6577189,112054708
91,1,10,398,06,56700,02411403,0656700,Perris,Perris city,25,C1,N,N,G4110,A,81742547,284236,+33.7902240,-117.2214116,119065147.9
92,1,10,422,06,22804,02410455,0622804,Escondido,Escondido city,25,C1,N,N,G4110,A,96015101,455887,+33.1330533,-117.0740430,137950529.2
93,1,10,438,06,13392,02409461,0613392,Chula Vista,Chula Vista city,25,C1,N,N,G4110,A,128544440,6380135,+32.6276701,-117.0151696,31041690.35
94,1,10,439,06,66000,02411782,0666000,San Diego,San Diego city,25,C1,Y,N,G4110,A,842252395,122244773,+32.8152995,-117.1349930,334357643.4
95,1,10,448,06,42370,02410857,0642370,Loma Linda,Loma Linda city,25,C1,N,N,G4110,A,19467469,2371,+34.0439367,-117.2495416,28429250.23
96,1,10,449,06,48788,02411141,0648788,Montclair,Montclair city,25,C1,N,N,G4110,A,14289425,0,+34.0714521,-117.6980540,20836902.77
97,1,10,452,06,53896,02411323,0653896,Ontario,Ontario city,25,C1,Y,N,G4110,A,129329742,159101,+34.0394383,-117.6042147,189051214
98,1,10,458,06,21712,02410406,0621712,El Cajon,El Cajon city,25,C1,N,N,G4110,A,37516310,0,+32.8016713,-116.9603972,52219817.97
99,1,10,459,06,22678,02410440,0622678,Encinitas,Encinitas city,25,C1,N,N,G4110,A,48722319,3050086,+33.0506323,-117.2636163,76384.88
100,1,10,460,06,40004,02411576,0640004,La Mesa,La Mesa city,25,C1,N,N,G4110,A,23552227,28934,+32.7694947,-117.0219232,1481259.63
101,1,10,461,06,53322,02411301,0653322,Oceanside,Oceanside city,25,C1,N,N,G4110,A,106841893,2392242,+33.2245045,-117.3062398,4935641.97
102,1,10,462,06,58520,02411480,0658520,Poway,Poway city,25,C1,N,N,G4110,A,101214289,223435,+32.9877018,-117.0218426,144571369
103,1,10,463,06,68196,02411797,0668196,San Marcos,San Marcos city,25,C1,N,N,G4110,A,63105425,52493,+33.1338931,-117.1693670,83703174.08
104,1,10,469,06,82996,02412161,0682996,Vista,Vista city,25,C1,N,N,G4110,A,48380231,0,+33.1895407,-117.2386078,3222538.54
105,1,10,479,06,81344,02412137,0681344,Upland,Upland city,25,C1,N,N,G4110,A,40460527,86983,+34.1160731,-117.6599224,59301652.86
106,1,10,480,06,87042,02412326,0687042,Yucaipa,Yucaipa city,25,C1,N,N,G4110,A,73532054,0,+34.0335234,-117.0426099,103757024.7
107,1,10,487,06,00464,02582929,0600464,Aguanga,Aguanga CDP,57,U1,N,N,G4210,S,35222114,0,+33.4522463,-116.8554705,48592994.88
108,1,10,500,06,01192,02407726,0601192,Alpine,Alpine CDP,57,U1,N,N,G4210,S,69370314,1475,+32.8422857,-116.7560444,58462715.55
109,1,10,566,06,07064,02407863,0607064,Bloomington,Bloomington CDP,57,U1,N,N,G4210,S,15573407,0,+34.0602771,-117.4014703,22748024.49
110,1,10,576,06,07498,02407884,0607498,Bonsall,Bonsall CDP,57,U1,N,N,G4210,S,34697325,449911,+33.2748761,-117.1918628,50385966.16
111,1,10,582,06,07624,02407889,0607624,Bostonia,Bostonia CDP,57,U1,N,N,G4210,S,5000273,0,+32.8190480,-116.9422640,7099737.6
112,1,10,637,06,11691,02407979,0611691,Casa de Oro-Mount Helix,Casa de Oro-Mount Helix CDP,57,U2,N,N,G4210,S,17741462,0,+32.7639604,-116.9688078,20813088.51
113,1,10,659,06,12916,02408019,0612916,Cherry Valley,Cherry Valley CDP,57,U1,N,N,G4210,S,20772775,0,+33.9796791,-116.9694057,30285689.94
114,1,10,690,06,16420,02582983,0616420,Coronita,Coronita CDP,57,U1,N,N,G4210,S,1549711,0,+33.8759205,-117.6110100,2253953.56
115,1,10,701,06,17106,02407680,0617106,Crest,Crest CDP,57,U1,N,N,G4210,S,16914633,0,+32.8000217,-116.8670774,24006441.25
116,1,10,755,06,20697,02408708,0620697,East Hemet,East Hemet CDP,57,U1,N,N,G4210,S,13467988,0,+33.7301393,-116.9409921,19522344.84
117,1,10,775,06,21810,02408053,0621810,El Cerrito,El Cerrito CDP,57,U1,N,N,G4210,S,6663910,581970,+33.8381856,-117.5222050,10529792.7
118,1,10,788,06,22457,02583009,0622457,El Sobrante,El Sobrante CDP,57,U1,N,N,G4210,S,18711531,0,+33.8724557,-117.4625147,27212537.94
119,1,10,794,06,23000,02628813,0623000,Eucalyptus Hills,Eucalyptus Hills CDP,57,U1,N,N,G4210,S,12324340,38920,+32.8851767,-116.9449826,17580124.79
120,1,10,800,06,23462,02408113,0623462,Fallbrook,Fallbrook CDP,57,U1,N,N,G4210,S,45339289,84676,+33.3747015,-117.2217238,63097995.53
121,1,10,832,06,26067,02583019,0626067,French Valley,French Valley CDP,57,U1,N,N,G4210,S,28183063,15910,+33.5994608,-117.1064951,40752906.13
122,1,10,853,06,30410,02583026,0630410,Good Hope,Good Hope CDP,57,U1,N,N,G4210,S,29094808,0,+33.7706229,-117.2771823,42213399.87
123,1,10,859,06,30703,02408320,0630703,Granite Hills,Granite Hills CDP,57,U1,N,N,G4210,S,7186893,0,+32.8032797,-116.9055155,10200883.35
124,1,10,865,06,30944,02630600,0630944,Green Acres,Green Acres CDP,57,U1,N,N,G4210,S,3626878,0,+33.7349555,-117.0782709,5257866.31
125,1,10,882,06,32044,02408350,0632044,Harbison Canyon,Harbison Canyon CDP,57,U1,N,N,G4210,S,26076235,0,+32.8272704,-116.8380760,37031733.53
126,1,10,893,06,33532,02408381,0633532,Hidden Meadows,Hidden Meadows CDP,57,U1,N,N,G4210,S,17048823,0,+33.2236437,-117.1198339,24428274.69
127,1,10,895,06,33574,02408383,0633574,Highgrove,Highgrove CDP,57,U1,N,N,G4210,S,8336146,0,+34.0105769,-117.3098383,12162448.24
128,1,10,900,06,34302,02408398,0634302,Home Gardens,Home Gardens CDP,57,U1,N,N,G4210,S,3919101,0,+33.8783732,-117.5115348,5700407.64
129,1,10,901,06,34316,02408399,0634316,Homeland,Homeland CDP,57,U1,N,N,G4210,S,11058085,0,+33.7458789,-117.1132415,16034914.45
130,1,10,927,06,37120,02408438,0637120,Jamul,Jamul CDP,57,U1,N,N,G4210,S,42950502,647442,+32.7210629,-116.8630365,61765043.11
131,1,10,974,06,39598,02408560,0639598,Lakeland Village,Lakeland Village CDP,57,U1,N,N,G4210,S,22533113,320505,+33.6489563,-117.3668230,33061886.83
132,1,10,976,06,39645,02583051,0639645,Lake Mathews,Lake Mathews CDP,57,U1,N,N,G4210,S,41251820,0,+33.8249659,-117.3683428,59927277.31
133,1,10,980,06,39715,02583052,0639715,Lake Riverside,Lake Riverside CDP,57,U1,N,N,G4210,S,18888597,216496,+33.5187350,-116.8121026,4741074.12
134,1,10,981,06,39724,02408550,0639724,Lake San Marcos,Lake San Marcos CDP,57,U1,N,N,G4210,S,4456543,222831,+33.1223616,-117.2085756,4960310.99
135,1,10,983,06,39766,02408562,0639766,Lakeside,Lakeside CDP,57,U1,N,N,G4210,S,17870152,984760,+32.8566170,-116.9042369,26793645.35
136,1,10,984,06,39836,02408564,0639836,Lakeview,Lakeview CDP,57,U1,N,N,G4210,S,8442803,0,+33.8284655,-117.1233341,12266003.83
137,1,10,989,06,40326,02408510,0640326,La Presa,La Presa CDP,57,U1,N,N,G4210,S,14237023,1351430,+32.7123147,-117.0037099,16744193.83
138,1,10,1065,06,45680,02408176,0645680,March ARB,March ARB CDP,57,M2,N,N,G4210,S,30896513,36823,+33.8891842,-117.2777289,45004088.92
139,1,10,1076,06,46520,02583076,0646520,Meadowbrook,Meadowbrook CDP,57,U1,N,N,G4210,S,18028261,60335,+33.7257821,-117.2850862,26216636.65
140,1,10,1079,06,46646,02583077,0646646,Mead Valley,Mead Valley CDP,57,U1,N,N,G4210,S,49424981,0,+33.8333225,-117.2852126,71814489.06
141,1,10,1083,06,46884,02408816,0646884,Mentone,Mentone CDP,57,U1,N,N,G4210,S,15954478,30802,+34.0606703,-117.1151140,23349873.6
142,1,10,1133,06,50132,02408894,0650132,Muscoy,Muscoy CDP,57,U1,N,N,G4210,S,8140238,10189,+34.1560594,-117.3464050,11931682.38
143,1,10,1160,06,52624,02408960,0652624,Nuevo,Nuevo CDP,57,U1,N,N,G4210,S,17538031,0,+33.8011407,-117.1413998,25463760.27
144,1,10,1161,06,52715,02583099,0652715,Oak Glen,Oak Glen CDP,57,U1,N,N,G4210,S,38495607,11185,+34.0410432,-116.9623071,25752630.94
145,1,10,1186,06,55058,02585656,0655058,Pala,Pala CDP,57,U1,N,N,G4210,S,10816084,0,+33.3616553,-117.0695419,15546507.61
146,1,10,1248,06,59248,02409123,0659248,Rainbow,Rainbow CDP,57,U1,N,N,G4210,S,28598663,0,+33.4098511,-117.1394380,41151151.83
147,1,10,1250,06,59346,02409128,0659346,Ramona,Ramona CDP,57,U1,N,N,G4210,S,99552934,54011,+33.0456193,-116.8775149,135986700.5
148,1,10,1253,06,59550,02409137,0659550,Rancho San Diego,Rancho San Diego CDP,57,U1,N,N,G4210,S,22535528,0,+32.7623959,-116.9196949,31957232.69
149,1,10,1254,06,59584,02409138,0659584,Rancho Santa Fe,Rancho Santa Fe CDP,57,U1,N,N,G4210,S,17392114,188500,+33.0258140,-117.1981480,23993.56
150,1,10,1279,06,62756,02409205,0662756,Romoland,Romoland CDP,57,U2,N,N,G4210,S,6848698,0,+33.7647634,-117.1571338,9935379.09
151,1,10,1300,06,64462,02409248,0664462,San Antonio Heights,San Antonio Heights CDP,57,U1,N,N,G4210,S,6197121,415767,+34.1564204,-117.6587047,6986230.62
152,1,10,1302,06,66004,02409252,0666004,San Diego Country Estates,San Diego Country Estates CDP,57,U1,N,N,G4210,S,43678577,0,+33.0092558,-116.7875308,40835811.3
153,1,10,1366,06,73696,02408796,0673696,Spring Valley,Spring Valley CDP,57,U1,N,N,G4210,S,18556229,541187,+32.7299478,-116.9764015,23774613.82
154,1,10,1406,06,78138,02629134,0678138,Temescal Valley,Temescal Valley CDP,57,U2,N,N,G4210,S,50093748,92242,+33.7580032,-117.4671588,72793329.05
155,1,10,1446,06,81708,02409393,0681708,Valle Vista,Valle Vista CDP,57,U1,N,N,G4210,S,17788664,539551,+33.7433625,-116.8887830,26575807.96
156,1,10,1448,06,81736,02409396,0681736,Valley Center,Valley Center CDP,57,U1,N,N,G4210,S,71077377,0,+33.2330805,-117.0157516,101864469.1
157,1,10,1471,06,83460,02583181,0683460,Warm Springs,Warm Springs CDP,57,U1,N,N,G4210,S,3878601,0,+33.7065211,-117.3354441,5619101.35
158,1,10,1505,06,85894,02409606,0685894,Winchester,Winchester CDP,57,U1,N,N,G4210,S,20891043,0,+33.7147229,-117.0772142,30271538.7
159,1,10,1506,06,85992,02409614,0685992,Winter Gardens,Winter Gardens CDP,57,U1,N,N,G4210,S,11471151,2714,+32.8375271,-116.9265645,16298169.65
160,1,10,1512,06,86244,02409622,0686244,Woodcrest,Woodcrest CDP,57,U1,N,N,G4210,S,29467959,0,+33.8789301,-117.3686055,42862244.76
161,2,11,55,06,46170,02411046,0646170,Marysville,Marysville city,25,C1,N,N,G4110,A,8971085,312309,+39.1515353,-121.5833738,15458463.86
162,2,11,60,06,41474,02410835,0641474,Lincoln,Lincoln city,25,C1,N,N,G4110,A,54072542,62258,+38.8754761,-121.2923839,89445336.34
163,2,11,61,06,43140,02412914,0643140,Loomis,Loomis town,43,C1,N,N,G4110,A,18820036,0,+38.8093681,-121.1954675,31039404.2
164,2,11,83,06,41936,02410846,0641936,Live Oak,Live Oak city,25,C1,N,N,G4110,A,8083326,0,+39.2788019,-121.6624391,13508540.77
165,2,11,96,06,16322,02410231,0616322,Corning,Corning city,25,C1,N,N,G4110,A,9193421,0,+39.9281988,-122.1819931,15652217.93
166,2,11,97,06,78106,02412042,0678106,Tehama,Tehama city,25,C1,N,N,G4110,A,2057210,0,+40.0217761,-122.1269008,3512028.83
167,2,11,154,06,13014,02409447,0613014,Chico,Chico city,25,C1,Y,N,G4110,A,85341862,445536,+39.7554055,-121.8183895,145335348.2
168,2,11,155,06,54386,02411337,0654386,Oroville,Oroville city,25,C1,N,N,G4110,A,35859078,47844,+39.4954747,-121.5600132,60384640.25
169,2,11,167,06,85012,02412249,0685012,Wheatland,Wheatland city,25,C1,N,N,G4110,A,21035373,17378,+39.0311632,-121.3899957,34935360.17
170,2,11,194,06,62364,02410980,0662364,Rocklin,Rocklin city,25,C1,N,N,G4110,A,50620710,138528,+38.8080407,-121.2503648,83712268.33
171,2,11,195,06,03204,02409754,0603204,Auburn,Auburn city,25,C1,N,N,G4110,A,18529464,71271,+38.8950746,-121.0767393,30750947.23
172,2,11,196,06,62938,02411000,0662938,Roseville,Roseville city,25,C1,Y,N,G4110,A,111337848,3366,+38.7690012,-121.3189015,183398139.5
173,2,11,206,06,50874,02411225,0650874,Nevada City,Nevada City city,25,C1,N,N,G4110,A,5667435,9642,+39.2596075,-121.0333263,9482462.69
174,2,11,219,06,54274,02411335,0654274,Orland,Orland city,25,C1,N,N,G4110,A,7547271,0,+39.7460220,-122.1850001,12782098.07
175,2,11,220,06,85684,02412272,0685684,Willows,Willows city,25,C1,N,N,G4110,A,7373091,68359,+39.5147524,-122.1991778,12519566.39
176,2,11,252,06,55520,02413111,0655520,Paradise,Paradise town,43,C1,N,N,G4110,A,47443349,37488,+39.7541919,-121.6064000,80436549.27
177,2,11,278,06,86972,02412325,0686972,Yuba City,Yuba City city,25,C1,Y,N,G4110,A,38657275,201005,+39.1385876,-121.6396607,64676521.29
